name_of_gas,temperature scope,a7,a6,a5,a4,a3,a2,a1
C4,1000-6000,3.68E-16,-8.97E-12,8.96E-08,-0.000471803,11.89582962,-2259.315786,4359.849258
C4N2,298.15-1000,4.35E-12,-1.59E-08,2.09E-05,-0.009951412,16.53341321,-1519.459578,34792.2551
C4N2,1000-6000,8.07E-16,-1.95E-11,1.93E-07,-0.001014037,19.50410483,-4905.147891,636208.6486
Ni(CO)4,298.15-1000,4.88E-12,-1.65E-08,1.82E-05,-0.0031941,19.23540622,335.5476041,-237311.8404
Ni(CO)4,1000-6000,8.32E-16,-2.04E-11,2.07E-07,-0.0010567,28.25411284,-5331.071983,627829.2653
C5,298.15-1000,1.74E-12,-5.39E-09,4.69E-06,0.000935463,11.33196318,-1544.001039,56261.06902
C5,1000-6000,5.02E-16,-1.22E-11,1.22E-07,-0.000639022,15.39000701,-3062.186371,15428.97362
Fe(CO)5,298.15-1000,5.05E-12,-1.72E-08,1.92E-05,-0.003793846,26.0775103,-1175.970676,-156240.9812
Fe(CO)5,1000-6000,1.09E-15,-2.63E-11,2.62E-07,-0.001320672,35.00964324,-6495.387138,491304.8737
Ca,298.15-1000,-7.54E-25,3.02E-21,-4.97E-18,4.29E-15,2.499966925,4.97E-10,-4.90E-08
Ca,1000-6000,3.42E-14,-8.80E-10,8.25E-06,-0.034466046,73.77068185,-71116.72139,27121987.21
CaCl,298.15-1000,2.10E-13,-9.02E-10,1.58E-06,-0.001407787,5.265002918,-220.8159216,5896.326607
CaCl,1000-6000,1.67E-15,-5.58E-11,6.34E-07,-0.002764603,10.39904099,-5833.116481,2165735.229
CaCl2,298.15-1000,3.27E-13,-1.34E-09,2.28E-06,-0.002068945,8.571697873,-310.1857793,4513.882991
CaCl2,1000-6000,-1.22E-17,2.42E-13,-1.91E-09,7.51E-06,7.484626476,14.71308754,-42274.74732
CaF,298.15-1000,1.90E-13,-9.13E-10,1.86E-06,-0.002032744,5.860278147,-508.8842293,31840.75913
CaF,1000-6000,9.92E-16,-3.92E-11,4.88E-07,-0.002226014,9.405282226,-4969.766852,1844109.153
CaF2,298.15-1000,6.93E-13,-2.97E-09,5.34E-06,-0.005194126,9.941494494,-952.8376896,50448.05499
CaF2,1000-6000,-2.25E-17,4.37E-13,-3.31E-09,1.24E-05,6.976987139,18.12051169,-100205.0106
CaOH,298.15-1000,3.22E-13,-2.62E-09,6.91E-06,-0.007797505,11.08096255,-1462.526337,86164.39483
CaOH,1000-6000,2.86E-15,-8.26E-11,8.50E-07,-0.003780113,16.0229422,-10309.27551,3833043.926
CaOH+,298.15-1000,5.01E-13,-3.28E-09,7.88E-06,-0.008513124,11.35060267,-1505.448405,89591.3071
CaOH+,1000-6000,8.26E-17,-2.94E-12,4.21E-08,-0.000316055,8.845876188,-3202.08036,1154784.65
Ca(OH)2,298.15-1000,7.87E-13,-5.69E-09,1.43E-05,-0.015670826,19.95051029,-2759.546696,149892.0336
Ca(OH)2,1000-6000,1.08E-16,-4.72E-12,7.48E-08,-0.00059405,15.61028914,-6316.730069,2286571.181
CaI,298.15-1000,-1.96E-13,7.10E-10,-1.02E-06,0.000773659,4.224178752,47.32329705,-11790.63479
CaI,1000-6000,3.34E-15,-9.65E-11,9.82E-07,-0.004117265,12.96265722,-8250.7001,3062635.767
CaI2,298.15-1000,7.19E-14,-3.15E-10,5.78E-07,-0.00056874,7.820339278,-100.4841924,-5738.332221
CaI2,1000-6000,-1.44E-17,2.83E-13,-2.18E-09,8.35E-06,7.483339256,15.82861409,-25833.33444
HgH,298.15-1000,-1.63E-12,7.05E-09,-1.24E-05,0.011251936,-0.345387072,536.6236517,-24141.43331
HgH,1000-6000,-2.85E-10,6.07E-06,-0.050851867,212.0387804,-458984.564,485597946.3,-1.95712E+11
HI,298.15-1000,1.82E-12,-6.65E-09,8.68E-06,-0.003927332,3.988893931,87.26401998,-19000.14805
HI,1000-6000,2.41E-16,-5.91E-12,5.96E-08,-0.000266134,5.463191366,-1617.384434,350213.8055
SiHI3,298.15-1000,1.87E-12,-7.46E-09,1.15E-05,-0.008385734,16.21729483,-1586.355719,75885.36352
SiHI3,1000-6000,2.37E-16,-5.80E-12,5.83E-08,-0.000309841,13.92970119,-1534.71039,83148.42349
KH,298.15-1000,-6.81E-13,2.61E-09,-3.84E-06,0.002595488,4.197313244,-475.4107937,56332.21046
KH,1000-6000,2.06E-17,-5.07E-13,5.03E-09,8.63E-05,4.573726311,-112.5551922,-90370.52201
KOH,298.15-1000,7.03E-14,-1.39E-09,4.36E-06,-0.004907904,9.182037416,-756.4395086,27033.05627
KOH,1000-6000,6.57E-17,-2.64E-12,3.99E-08,-0.000307586,8.821407344,-3140.525124,1175957.258
KOH+,298.15-1000,-1.09E-13,-6.88E-10,3.20E-06,-0.003871289,8.639075202,-594.2047968,17190.14808
KOH+,1000-6000,-1.56E-17,-4.64E-13,2.16E-08,-0.000235044,8.673307925,-2985.026914,1126074.181
LiH,298.15-1000,-1.64E-12,7.35E-09,-1.34E-05,0.012683297,-1.402387143,831.9918491,-51616.71253
LiH,1000-6000,-5.23E-16,1.25E-11,-9.39E-08,0.000426889,3.974379503,344.5552898,-338287.183
LiOH,298.15-1000,4.27E-13,-2.86E-09,6.95E-06,-0.007499465,10.73682103,-1304.942195,78073.86078
LiOH,1000-6000,2.66E-17,-1.80E-12,3.29E-08,-0.000278806,8.769286625,-3134.603113,1149625.116
LiOH+,298.15-1000,2.42E-13,-2.21E-09,5.97E-06,-0.006604995,10.23143779,-1134.151201,64284.52863
LiOH+,1000-6000,-6.50E-18,-6.53E-13,2.31E-08,-0.00024176,8.689103042,-3005.0287,1094284.577
MgH,298.15-1000,-1.80E-12,8.07E-09,-1.49E-05,0.014256128,-2.380222719,1097.508256,-77377.27014
MgH,1000-6000,-3.86E-17,-7.87E-12,1.63E-07,-0.000827488,6.796914735,-2659.068686,835200.698
MgOH,298.15-1000,3.09E-13,-2.63E-09,7.13E-06,-0.008313324,11.62200312,-1754.988863,120225.8555
MgOH,1000-6000,-9.84E-16,1.95E-11,-1.21E-07,0.000251612,7.814529068,-2269.901337,787391.5018
MgOH+,298.15-1000,4.79E-13,-3.25E-09,8.03E-06,-0.00895931,11.84841161,-1779.581834,120711.044
MgOH+,1000-6000,7.83E-17,-2.89E-12,4.20E-08,-0.000317013,8.852139056,-3215.439182,1129062.22
NH,298.15-1000,8.62E-13,-4.44E-09,8.62E-06,-0.007224849,6.514677382,-617.7368296,49940.53343
NH,1000-6000,1.14E-15,-2.47E-11,2.15E-07,-0.000770093,6.412100022,-3069.286175,992553.6534
HNO,298.15-1000,-1.01E-12,4.62E-09,-9.44E-06,0.010999614,0.079200794,521.1213556,-19217.89028
HNO,1000-6000,4.47E-16,-1.11E-11,1.13E-07,-0.000615617,8.915652589,-3339.714402,699497.1378
HONO,298.15-1000,-2.69E-12,1.10E-08,-1.86E-05,0.016653715,1.974968258,-107.3686398,22481.08732
HONO,1000-6000,3.40E-16,-9.03E-12,1.00E-07,-0.000601787,12.09869931,-4177.94437,917071.7438
HONO2,298.15-1000,-4.12E-12,1.71E-08,-2.88E-05,0.025085265,2.128013566,-556.0953816,72508.24462
HONO2,1000-6000,4.03E-16,-1.06E-11,1.16E-07,-0.000686704,15.3746913,-4703.775737,786127.8818
NaH,298.15-1000,-1.51E-12,6.26E-09,-1.04E-05,0.008714673,1.168745196,166.2235133,7852.825297
NaH,1000-6000,2.87E-17,-7.05E-13,7.11E-09,7.84E-05,4.61247168,-181.7620825,-104439.4499
NaOH,298.15-1000,9.41E-14,-1.44E-09,4.41E-06,-0.004966076,9.235658152,-780.8385397,29114.18426
NaOH,1000-6000,4.04E-17,-2.06E-12,3.48E-08,-0.000285545,8.778412784,-3126.313612,1179544.367
NaOH+,298.15-1000,3.32E-13,-2.33E-09,5.68E-06,-0.005813769,9.477302701,-786.3524303,33041.4512
NaOH+,1000-6000,1.16E-18,-7.68E-13,2.37E-08,-0.000242723,8.687662971,-2998.397432,1127641.601
OH,298.15-1000,1.03E-13,-1.34E-09,3.87E-06,-0.003932634,5.353700701,-407.5538829,42932.29071
OH,1000-6000,1.31E-16,-2.79E-12,3.62E-08,-0.000232984,5.75335394,-3105.822096,1244396.733
OH+,298.15-1000,1.30E-12,-6.04E-09,1.08E-05,-0.008470675,6.847380629,-653.0294342,50450.94516
OH+,1000-6000,-5.65E-16,6.85E-12,1.62E-08,-0.000281928,5.972287699,-2933.68359,1021814.791
OH-,298.15-1000,-1.89E-13,-2.21E-10,2.18E-06,-0.002680027,4.879796674,-325.1848246,29209.5035
OH-,1000-6000,-8.45E-18,-9.93E-13,2.54E-08,-0.000199412,5.684565852,-3067.275073,1232044.518
SrOH,298.15-1000,4.13E-13,-2.83E-09,6.92E-06,-0.007447997,10.66045367,-1248.251225,64934.33987
SrOH,1000-6000,5.90E-15,-1.43E-10,1.28E-06,-0.005151793,18.13481342,-11848.48208,4276795.344
HOO,298.15-1000,-2.71E-12,1.09E-08,-1.77E-05,0.015375059,-0.538552605,425.491334,3016.923467
HOO,1000-6000,-3.23E-15,7.60E-11,-6.92E-07,0.002899812,2.283252267,1957.921404,-794895.2115
PH,298.15-1000,1.60E-12,-5.92E-09,7.81E-06,-0.003438958,3.827834681,119.4153684,-21875.37623
PH,1000-6000,-1.44E-15,3.67E-11,-3.58E-07,0.001763224,1.211726158,2391.402061,-1067546.026
PbH,298.15-1000,-1.56E-12,7.34E-09,-1.41E-05,0.014081434,-2.605581011,1203.438201,-89952.44224
PbH,1000-6000,-2.25E-15,5.96E-11,-6.19E-07,0.003135531,-2.033591262,6188.990575,-2482155.026
HS,298.15-1000,1.85E-12,-7.55E-09,1.15E-05,-0.007155267,5.205225233,104.9827028,-32048.7314
HS,1000-6000,1.98E-16,-3.60E-12,4.03E-08,-0.000217066,5.48290335,-1948.155731,590360.3876
SiH,298.15-1000,2.76E-13,-1.04E-10,-2.49E-06,0.005669785,-0.139357766,958.8105483,-82364.5247
SiH,1000-6000,-1.69E-15,2.97E-11,-1.57E-07,0.000376668,4.465661524,-692.7065151,70259.78711
ZrH,298.15-1000,-1.88E-12,8.19E-09,-1.46E-05,0.013509863,-1.737206205,902.2597143,-57592.86775
ZrH,1000-6000,1.11E-16,-2.48E-12,2.27E-08,-3.36E-05,4.793198645,-429.2024691,-52292.68565
H2+,298.15-1000,8.10E-13,-2.71E-09,2.49E-06,0.001211229,1.750329858,586.2256002,-63207.88727
H2+,1000-6000,7.55E-15,-9.21E-11,7.08E-08,0.002424304,-4.049692905,11044.78434,-5413654.81
H2-,298.15-1000,-1.33E-12,6.40E-09,-1.28E-05,0.013535214,-2.742971208,1321.980593,-106057.8726
H2-,1000-6000,1.63E-16,-3.78E-12,3.58E-08,-2.82E-05,4.997041398,-758.2671893,34372.54209
SiH2I2,298.15-1000,3.68E-12,-1.42E-08,2.07E-05,-0.013705363,17.31290621,-2471.618105,155173.9602
SiH2I2,1000-6000,5.03E-16,-1.23E-11,1.23E-07,-0.000651545,14.95006537,-3213.128644,311318.8899
(KOH)2,298.15-1000,-7.41E-12,2.96E-08,-4.75E-05,0.039744037,-2.408969944,1374.476994,-67229.67139
(KOH)2,1000-6000,2.40E-16,-7.97E-12,1.08E-07,-0.000773178,19.1666038,-7295.060172,2108990.653
(LiOH)2,298.15-1000,-6.25E-12,2.46E-08,-3.85E-05,0.030991198,2.502991,-189.1268782,24697.8921
(LiOH)2,1000-6000,2.56E-16,-8.32E-12,1.11E-07,-0.000786208,19.19801151,-7335.762117,1987749.94
Mg(OH)2,298.15-1000,4.46E-13,-4.40E-09,1.25E-05,-0.014768282,20.18546263,-3214.852365,209655.9224
Mg(OH)2,1000-6000,1.45E-16,-5.51E-12,8.15E-08,-0.000623807,15.68321994,-6412.657663,2238747.812
O2Mo(OH)2,298.15-1000,-2.13E-13,9.95E-12,1.75E-06,-0.003142951,21.76120501,-3461.167526,280704.599
O2Mo(OH)2,1000-6000,3.47E-16,-9.36E-12,1.06E-07,-0.000646161,21.29852668,-4676.484082,908804.6747
NH2,298.15-1000,4.37E-13,-2.64E-09,4.98E-06,-0.002343923,4.949995898,-294.2113088,35313.4345
NH2,1000-6000,2.77E-15,-3.53E-11,1.13E-08,0.001340543,2.888442896,2775.854026,-1898761.479
HNNH,298.15-1000,-3.57E-12,1.49E-08,-2.61E-05,0.025686638,-4.408803221,1021.744285,-29007.08875
HNNH,1000-6000,7.46E-16,-1.91E-11,2.03E-07,-0.00115917,13.82301724,-7145.293721,1758862.988
(NaOH)2,298.15-1000,-7.12E-12,2.84E-08,-4.55E-05,0.037862832,-1.434817134,1095.255179,-57472.93186
(NaOH)2,1000-6000,2.73E-16,-8.63E-12,1.13E-07,-0.000793899,19.21006178,-7340.538622,2100526.964
Sr(OH)2,298.15-1000,5.66E-13,-4.65E-09,1.22E-05,-0.013436574,18.53752188,-2247.056265,107009.6164
Sr(OH)2,1000-6000,1.21E-16,-4.95E-12,7.63E-08,-0.000598329,15.61506562,-6315.613085,2328466.384
O2S(OH)2,298.15-1000,-5.22E-12,1.99E-08,-2.99E-05,0.022339436,10.83908969,-2277.353153,211708.5366
O2S(OH)2,1000-6000,4.54E-16,-1.28E-11,1.50E-07,-0.000956731,22.55068129,-7527.536745,1758010.313
O2W(OH)2,298.15-1000,3.53E-12,-1.42E-08,2.23E-05,-0.016876825,26.12541877,-3981.667774,263109.2463
O2W(OH)2,1000-6000,5.98E-16,-1.46E-11,1.46E-07,-0.000777834,21.34070049,-3895.087083,334242.9413
PH2,298.15-1000,2.94E-12,-1.10E-08,1.47E-05,-0.006932596,6.454102388,-496.2116398,37723.61371
PH2,1000-6000,5.63E-16,-1.37E-11,1.36E-07,-0.000721835,9.163501975,-3585.72564,704211.0047
SiH3I,298.15-1000,3.86E-12,-1.42E-08,1.87E-05,-0.009330814,13.92272191,-2336.20611,170570.5372
SiH3I,1000-6000,7.55E-16,-1.84E-11,1.85E-07,-0.000977433,15.91871068,-4792.453721,512873.3028
NH3,298.15-1000,-2.63E-12,9.97E-09,-1.59E-05,0.015967882,-1.201578693,612.9194496,-13883.2641
NH3,1000-6000,5.04E-15,-7.03E-11,3.41E-07,-0.000987624,13.27990729,-7917.55994,2117063.545
H30+,298.15-1000,-5.31E-12,2.10E-08,-3.36E-05,0.029458011,-6.626003008,1670.182698,-94443.60968
H30+,1000-6000,6.96E-18,-4.01E-12,9.04E-08,-0.000840231,14.04227373,-10392.40598,3657225.91
PH3,298.15-1000,2.40E-12,-8.01E-09,7.80E-06,0.001372935,4.68628438,-593.565143,76188.6788
PH3,1000-6000,8.78E-16,-2.14E-11,2.14E-07,-0.001135691,13.40585474,-5639.000445,903703.9242
N2H4,298.15-1000,-3.63E-12,1.12E-08,-1.21E-05,0.006577329,12.85292044,-3712.624277,405165.2973
N2H4,1000-6000,-1.51E-10,3.37E-06,-0.030007752,135.6157662,-324075.8948,381772935.8,-1.68347E+11
SiH4,298.15-1000,3.45E-12,-1.16E-08,1.21E-05,-0.000605048,8.411200778,-1732.561463,172392.78
SiH4,1000-6000,1.04E-15,-2.53E-11,2.51E-07,-0.001322567,16.92429322,-6403.948673,733195.3571
O,298.15-1000,9.84E-14,-3.28E-10,3.95E-07,-0.000177172,2.476933478,48.2202278,1982.457503
O,1000-6000,7.34E-16,-1.87E-11,1.77E-07,-0.000719142,3.923607975,-1354.690072,509488.0433
PO,298.15-1000,-1.65E-12,7.11E-09,-1.25E-05,0.011088034,-0.367766032,617.2282008,-22811.59523
PO,1000-6000,-2.11E-17,3.30E-12,-3.45E-08,0.000165816,4.244924348,178.5190794,-233446.1113
PbO,298.15-1000,1.48E-15,-2.56E-10,1.01E-06,-0.001619326,5.919060206,-658.0483999,53089.36055
PbO,1000-6000,-1.16E-14,2.11E-10,-1.32E-06,0.003988905,-1.697836842,4870.269016,-1590577.686
SO,298.15-1000,-1.32E-12,5.63E-09,-9.51E-06,0.007925407,1.489218849,97.74105893,13792.85348
SO,1000-6000,1.09E-15,7.05E-12,-2.46E-07,0.001565642,1.376399059,2615.281055,-983795.9529
SSO,298.15-1000,-1.12E-12,4.49E-09,-7.00E-06,0.004987893,5.972858655,-700.7774302,62920.73284
SSO,1000-6000,7.67E-17,-1.70E-12,1.54E-08,-7.27E-05,7.191256887,-272.3775151,-166364.401
SiO,298.15-1000,-1.66E-12,7.04E-09,-1.21E-05,0.010573426,0.038657834,442.3260128,-15463.91983
SiO,1000-6000,-1.63E-15,3.94E-11,-3.14E-07,0.001196697,2.262250481,2064.103073,-957720.3028
SrO,298.15-1000,9.93E-13,-3.54E-09,5.48E-06,-0.00474213,7.053828445,-821.8213721,61790.11653
SrO,1000-6000,-1.23E-13,2.63E-09,-2.16E-05,0.084922623,-155.383178,140445.4327,-46311555.89
TaO,298.15-1000,-8.50E-13,2.29E-09,-1.71E-06,0.000150844,5.292183886,-742.6298995,82847.00956
TaO,1000-6000,1.06E-14,-1.78E-10,9.04E-07,-0.00066046,1.442342896,7257.447613,-4342372.759
TiO,298.15-1000,-7.92E-13,2.76E-09,-3.36E-06,0.00119496,5.496833261,-861.5383055,104405.506
TiO,1000-6000,7.56E-15,-1.71E-10,1.41E-06,-0.004998925,13.39723783,-7440.369667,2342677.772
VO,298.15-1000,-6.53E-13,2.63E-09,-4.09E-06,0.002899907,3.962864001,-433.1503768,54774.91024
VO,1000-6000,6.25E-15,-1.40E-10,1.15E-06,-0.003970994,11.34126656,-5708.166102,1697054.414
WO,298.15-1000,-1.01E-12,4.07E-09,-6.50E-06,0.004979827,2.993155313,-232.234159,39614.85793
WO,1000-6000,6.23E-15,-1.40E-10,1.14E-06,-0.0039673,11.31615329,-5688.810342,1679782.731
ZrO,298.15-1000,-6.32E-12,1.97E-08,-2.07E-05,0.009799597,2.903744928,-461.5281651,71151.66696
ZrO,1000-6000,2.94E-14,-6.64E-10,5.86E-06,-0.02507385,58.21650849,-48110.87341,14649334.07
O2+,298.15-1000,3.58E-14,1.03E-09,-4.52E-06,0.007291654,-0.686960165,1021.793859,-91469.53459
O2+,1000-6000,1.27E-16,6.90E-12,-8.40E-08,0.000374267,3.904424839,268.3717352,-393573.4497
O2-,298.15-1000,-1.17E-12,4.76E-09,-7.70E-06,0.006124009,2.453105948,-115.8247993,30231.73361
O2-,1000-6000,4.39E-17,-9.78E-13,8.90E-09,1.66E-05,4.614694592,-168.728413,-92093.74391
PO2,298.15-1000,-1.56E-12,6.05E-09,-9.04E-06,0.005969337,6.168508153,-1070.122231,113459.8907
PO2,1000-6000,7.95E-17,-1.77E-12,1.61E-08,-7.65E-05,7.203155813,-291.726253,-213223.9911
SO2,298.15-1000,-3.44E-12,1.46E-08,-2.52E-05,0.021940116,-2.222914758,860.434307,-47311.60822
SO2,1000-6000,7.95E-17,-1.77E-12,1.61E-08,-7.65E-05,7.203155813,-291.726253,-213223.9911
SiO2,298.15-1000,-2.37E-12,1.01E-08,-1.75E-05,0.015181301,1.289299828,293.816529,-18183.76302
SiO2,1000-6000,8.84E-17,-2.14E-12,2.12E-08,-0.000110672,7.822212725,-506.7087145,-211106.2015
TaO2,298.15-1000,-1.10E-12,4.14E-09,-5.80E-06,0.00324791,7.236764263,-1125.078291,113343.7195
TaO2,1000-6000,3.89E-15,-8.45E-11,6.63E-07,-0.00216115,10.41424506,-2630.022893,496614.0055
TiO2,298.15-1000,-8.83E-13,3.33E-09,-4.63E-06,0.002376863,7.589093342,-1205.172676,123057.3717
TiO2,1000-6000,-9.42E-17,-1.74E-11,3.16E-07,-0.00169993,11.03576429,-4418.39943,1503812.321
VO2,298.15-1000,-8.99E-13,3.39E-09,-4.71E-06,0.002438054,7.572144086,-1208.877975,122004.0892
VO2,1000-6000,6.89E-17,-1.51E-12,1.35E-08,-6.32E-05,7.164987872,-232.6026437,-181287.4051
WO2,298.15-1000,-9.40E-13,3.62E-09,-5.21E-06,0.002954081,7.309403529,-1156.404698,118481.4134
WO2,1000-6000,-2.25E-15,4.36E-11,-2.87E-07,0.000898814,5.559568867,1106.770025,-625823.7783
ZrO2,298.15-1000,-4.34E-13,1.35E-09,-1.10E-06,-0.000782367,8.966401243,-1364.078921,128645.956
ZrO2,1000-6000,1.43E-17,-4.09E-13,4.54E-09,-2.55E-05,7.077143165,-122.760052,-169043.584
SO3,298.15-1000,-3.97E-12,1.71E-08,-2.99E-05,0.026150808,-0.689754179,434.0753395,-20873.91407
SO3,1000-6000,7.96E-16,-1.61E-11,1.32E-07,-0.000554811,11.29058348,-1613.23375,-101290.7567
WO3,298.15-1000,-1.14E-12,4.45E-09,-6.49E-06,0.003754576,10.35376527,-1489.063053,117885.4528
WO3,1000-6000,8.43E-17,-1.89E-12,1.74E-08,-8.34E-05,10.22338006,-323.2230512,-276227.4697
(P2O3)2,298.15-1000,8.32E-13,-5.75E-09,1.59E-05,-0.023413567,47.95035619,-9770.928445,697321.4433
(P2O3)2,1000-6000,1.70E-16,-3.96E-12,3.75E-08,-0.000185968,28.51172979,-757.8897148,-1137623.438
(WO3)2,298.15-1000,1.54E-12,-7.11E-09,1.37E-05,-0.014318788,30.71846041,-3034.319236,103806.7813
(WO3)2,1000-6000,3.60E-17,-7.80E-13,6.85E-09,-3.13E-05,22.07871577,-106.3912428,-340407.943
W3O8,298.15-1000,1.00E-12,-5.51E-09,1.29E-05,-0.016521535,43.59558007,-5596.875307,347336.9248
W3O8,1000-6000,5.62E-17,-1.36E-12,1.34E-08,-6.93E-05,31.19875698,-306.3913907,-664346.3046
(WO3)3,298.15-1000,1.20E-12,-6.58E-09,1.52E-05,-0.019314261,48.43408558,-6260.476741,350798.634
(WO3)3,1000-6000,1.07E-16,-2.40E-12,2.19E-08,-0.000103757,34.27295565,-386.9305825,-734944.1622
(P2O5)2,298.15-1000,-7.06E-12,2.84E-08,-4.38E-05,0.029139022,38.08957975,-8496.479957,678162.4133
(P2O5)2,1000-6000,5.08E-16,-1.21E-11,1.17E-07,-0.000591078,41.66829945,-2541.292184,-1745742.077
(WO3)4,298.15-1000,8.61E-13,-5.53E-09,1.44E-05,-0.019863853,61.87719335,-7261.489574,395409.6235
(WO3)4,1000-6000,1.15E-16,-2.61E-12,2.41E-08,-0.000116492,46.31358539,-456.8638856,-916499.3034
P+,298.15-1000,-3.88E-13,1.93E-09,-3.96E-06,0.004324027,-0.196826518,928.2477344,-70412.93147
P+,1000-6000,-7.04E-16,2.08E-11,-2.42E-07,0.001336312,-0.63002487,3239.809668,-1160665.191
P-,298.15-1000,-3.22E-14,2.74E-10,-6.42E-07,0.000725783,2.040427883,165.8628887,-8611.645872
P-,1000-6000,-1.65E-15,3.89E-11,-3.59E-07,0.001568009,-0.352495722,2272.221859,-640419.8322
PS,298.15-1000,2.13E-13,-8.31E-10,1.38E-06,-0.001254133,5.264216987,-291.658477,19968.63045
PS,1000-6000,-8.58E-16,1.25E-11,-3.80E-08,-4.38E-06,4.85089092,-539.2225045,219858.4894
P2,298.15-1000,2.65E-13,-1.18E-09,2.33E-06,-0.002628708,6.386856748,-812.4422694,70842.48
P2,1000-6000,-1.74E-18,1.16E-14,2.25E-10,2.39E-05,4.513838712,-28.83892714,-81005.98873
P4,298.15-1000,1.07E-12,-4.84E-09,9.16E-06,-0.009360609,15.55340325,-1872.136425,79988.78002
P4,1000-6000,-1.00E-17,1.57E-13,-8.14E-10,9.03E-07,10.0053202,-18.62297545,-202300.9026
PbS,298.15-1000,2.62E-13,-1.14E-09,2.03E-06,-0.001895676,5.549670264,-317.90118,13235.26296
PbS,1000-6000,1.60E-15,-1.21E-10,1.64E-06,-0.007809822,21.78610275,-17860.75589,6930595.133
Pb2,298.15-1000,-8.98E-14,3.02E-10,-3.89E-07,0.000424148,4.448937777,-5.163865721,-8027.700606
Pb2,1000-6000,-4.59E-18,6.74E-14,-3.21E-10,0.000195619,4.501291633,-3.69055636,-8914.731886